data/customer_id,data/helpful_votes,data/marketplace,data/product_category,data/product_id,data/product_parent,data/product_title,data/review_body,data/review_date,data/review_headline,data/review_id,data/star_rating,data/total_votes,data/verified_purchase,data/vine
b'407728',0,b'US',b'Shoes',b'B00W76N098',b'579065458',"b""Outray Men's A10 Aviator Polarized Sunglasses""","b'These sunglasses, when you look through them, it really blocks the sun, but it also helps you see better when the sun is up and bright. When your driving toward the sun id suggest not using these because you cant see anything like your speedometer, and other stuff on you panel.'",b'2015-06-08',b'Awesome',b'R2DIK5Q3FME9JA',5,0,0,1
b'12349600',2,b'US',b'Shoes',b'B00IX295S0',b'405130414',b'Frye Melissa Harness Insize Zip Boot (Little Kid/Big Kid)',"b""I wear a size 5.5 and this boot in a size 4 fits me perfectly, though the style did not suit me. The height of the shaft is just right on my 5' 1&#34; frame. I can't wear adult boots because they don't fit properly around my calves. These are real leather too!""",b'2014-10-22',b'Great for petite women',b'R3BPA8W8IUMG70',4,2,0,1
b'30924711',0,b'US',b'Shoes',b'B005LJFNKW',b'176545757',b'X-loop Polarized Mens Action Sports Fishing Sunglasses - Several Colors',"b""Got this product and it was all plastic and those black ends annoyed my head. I really didn't like these""",b'2012-12-07',b'Crap',b'R14NDXS2C3OI1A',1,1,0,1
b'48507952',0,b'US',b'Shoes',b'B00JRU2H3C',b'626339800',"b""Qupid Women's Plateau Riding Boot""","b""I'm bummed. I really liked these and wore them a lot. The sole broke though. They came unglued where the heel is. It's fixable, I guess.""",b'2015-03-24',b'Bummed',b'R16F3YFN6SZK97',2,0,0,1
b'26108745',1,b'US',b'Shoes',b'B002T45G0Y',b'58580533',"b""Butter Women's Amanda Wedge Sandal""","b""These sandals are a strange fit. They are wide and a bit short. I ordered size 8.5 which I normally wear, but with these my heel is almost hanging. Not nice. It says here they are made in Italy, but I couldn't find where they were made at all, not on the shoe, not on the box. When I look down at my feet, they look wide, even though I have narrow feet, it's just this design doesn't make your feet look good. In addition, the paint on the leather (if it is leather, doesn't say what they are made of either) was already pilling when I received them. Would definatelly return them if it didn't cost an arm and a leg to send it back to US from Australia. Would have to try my luck selling these on eBay""",b'2011-05-11',b'Funny fit',b'R1844U2LYTIQBQ',2,1,0,1
b'33591610',0,b'US',b'Shoes',b'B00DQYVJAM',b'35910539',"b""adidas Outdoor Terrex Fast X Hiking Shoe - Men's Carbon/Black/Light Scarlet 10.5""","b'I use these for work daily, and I love them.'",b'2015-08-20',b'and I love them.',b'R1SD428JS8M35O',4,0,0,1
b'22010549',0,b'US',b'Shoes',b'B00DDXZ470',b'444125338',b'Heelys Motion Skate Shoe (Little Kid/Big Kid)',"b""MY GRANDSON'S EYES POPPED OUT OF HIS HEAD WHEN HE GOT HIS HEELYS. HE LOVES THEM ,LOVES THEM AND LOVES THEM . HE CAN'T WAIT TO GET TO GRANDMA AND GRANDPA'S HOUSE TO PUT HIS HEELYS ON AND TAKE OFF IN THE DRIVEWAY OR DOWN THE STREETS WITH SUPERVISION . HE IS 9 YEARS OLD AND FAST AS LIGHTNING !!  BUT WE ALL INSIST HE WEAR A HELMET . MAKE SURE YOUR CHILD WEARS A HELMET  !!!!!  HE IS A  SHOE SIZE 4 PUT WE GOT HIM THE SIZE 5 AND WITH WEARING COTTON  DOUBLE SOCKS THEY FIT PERFECTLY . HE SHOULD HAVE THEM FOR ANOTHER YEAR.<br />WE DID FOLLOW THE ADVICE OF OTHERS AND GOT A SIZE UP. AGAIN HIS SHOE SIZE 4 . HEELYS SIZE 5""",b'2015-05-03',"b""GET THEM FOR THE CHILD IN YOUR LIFE .AND DON'T FORGET THE HELMET.""",b'REK29S7ZEIH79',5,0,0,1
b'14523480',0,b'US',b'Shoes',b'B001Q3KI9I',b'32269153',"b""Reef Men's Fanning Speed Logo Sandal""","b""these are the most comfortable sandals i've ever owned.  you can really feel the cushion that is in the heel.  of course the bottle opener is awesome.""",b'2014-05-06',b'very comfortable',b'R2NPIN93HK4T12',5,0,0,1
b'36651833',2,b'US',b'Shoes',b'B004MXVW1W',b'568885424',"b""Rockport Men's Oak Circle Slip-On""","b""Seriously I love these shoes. They quickly became my favorite pair. I bought them for work but wear them all the time now. I may need to by anther pair in black. I am on my feet a lot at work, and don't have a car so I walk a lot and these shoes are perfect for that. Weather I'm walking on broken city streets or in an office building these shoes are styling and functional.""",b'2012-06-13',b'most comfortable shoes I own!!',b'R2VQZATBJT580L',5,2,0,1
b'11107806',0,b'US',b'Shoes',b'B004E9T360',b'967489528',"b""Sanuk Women's Scribble Flat""","b'pictures of this item is not accurate, I bought this as a grey but when I saw it in real its green.<br />in general so good except the color.'",b'2012-07-30',b'not as described',b'R29GH4D61HJ0D3',2,1,0,1
b'11235109',0,b'US',b'Shoes',b'B003ZI2G6A',b'986190992',"b""Easy Spirit Women's Abetti Mule""",b'just what I was wantingvery comfortable and nice lookingMadewell',b'2014-09-14',b'Five Stars',b'R2ENK72G469IB3',5,0,0,1
b'1462024',0,b'US',b'Shoes',b'B00LT0U2KS',b'233668709',b'Tommy Hilfiger Heritage Flag Saffiano Tote Handbag',"b'great handbag, but it was returned for another style.'",b'2014-12-29',b'Five Stars',b'R2A9MVEGO21RXN',5,0,1,1
b'1109384',0,b'US',b'Shoes',b'B00LHAHN5C',b'884415654',"b""Under Armour Micro G EV Sandal - Women's""","b'Awesome colors, matches a lot of my clothing. Basically exactly what I expected.'",b'2015-05-07',b'Five Stars',b'R1UVCXWQDKFELJ',5,0,0,1
b'1794239',0,b'US',b'Shoes',b'B00HENB9DI',b'741695273',b'Front Pocket Cross-body Handbag',b'I am BEYOND Happy with this Purse! It is such a perfect size and I just love it! I also love the animal print! I love how its designed..the pockets are awesome.. Thank you!!',b'2015-04-28',b'LOVE LOVE this Purse!!!',b'R1CO6NPLVQTWXU',5,0,0,1
b'46145188',0,b'US',b'Shoes',b'B00O4JR7WM',b'860112256',b'OrthoStep Round Athletic Shoelaces 2 Pair Pack - Made in the USA',"b""I should have ordered a few inches longer but that's my fault for not measuring what I needed.  The minus star is not fire the length,  but for the diameter.  These don't fer very strong,but they are adequate.""",b'2014-11-28',"b""I should have ordered a few inches longer but that's ...""",b'R35KCNMGNIUN33',4,1,0,1
b'51616417',0,b'US',b'Shoes',b'B009C7YPFS',b'574117282',"b""Corso Como Women's Ellis Slingback Sandal""","b""These shoes are great. I can't wear really high heels so these give me a little boost without feeling like I'm on stilts.  Love the color, nude burnished calf, they go with everything. Very satisfied.""",b'2013-11-09',b'Love them',b'R33MI7N0QY2AN4',5,0,0,1
b'43695558',2,b'US',b'Shoes',b'B00MDKWV7K',b'238185718',"b""Polar Women's Nylon Tall Winter Snow Boot""","b""It's everything as advertised.  The fit is a little off.  I should have picked a size smaller but other than that, with thick socks I am good, lol.  Water proof and loving it.  Plan to buy another pair for my daughter for next year.  Will say, it does feel more like I'm wearing tennis shoes, I thought it was more hard rubber but it's not.""",b'2015-03-12',b'Awesome Boots',b'R13ON954HVR8FU',5,2,0,1
b'44169206',0,b'US',b'Shoes',b'B00DV1NPH0',b'675612749',"b""Skechers Performance Women's Go Sleek Jet Set Walking Shoe""","b""I ordered a size 9.5 after reading the reviews that these shoes ran slightly large. When I tried them on, they did fit very nicely and my toes weren't pressed up against the front. The only thing is that the part on top is a bit tight since it falls right around the widest point of my foot, but after a few minutes, it's very easy to get used to and isn't even noticeable any more. I was looking for a good pair of working shoes since my job requires me to stand in one place or be walking around for the majority of 9-10 hours. My flats and an old pair of sneakers definitely weren't cutting it. These are so much better. My feet still hurt, but they start hurting later in the day and they take less time to recover at night.""",b'2014-07-14',"b'Not perfect, but still great shoes.'",b'R24EOM1UECIFE9',4,1,0,1
b'10263085',0,b'US',b'Shoes',b'B003JKSTSI',b'820387530',"b""Skechers Sport Women's Dream Come True Fashion Sneaker""",b'thanks',b'2015-02-18',b'Five Stars',b'R1AJXWOE63BOTD',5,0,0,1
b'22130809',2,b'US',b'Shoes',b'B0000AF8EM',b'990573795',b'Timberland Mens Premium Waterproof Chukka Boot',b'i bought a black pair of these boots and i swear they are not what they are said to be they aint leather Ive been wearing Tims for years and this is some knockoff s*** this store is selling. I rather spend more to put real Tims on my feet than to buy this BS.',b'2015-01-28',b'i bought a black pair of these boots and i ...',b'R1X211EYRB3FAC',1,2,0,1
b'31709546',1,b'US',b'Shoes',b'B00FJ06YEC',b'377164228',"b""Polo Ralph Lauren Men's Willem Slip-On Loafer""",b'had to remove inner soling to get comfortable fit',b'2015-06-01',b'Three Stars',b'R10E2D1IKUQRC',3,1,0,1
b'27032068',1,b'US',b'Shoes',b'B00IFKCO24',b'950093711',"b""CL by Chinese Laundry Women's Iconic Tribal Fab Wedge Sandal""","b""These shoes drove me crazy!  I was looking for pink wedges, I saw these but they looked orange on the screen.  Then I saw that they were available in yellow and fell in love.  Decisions, decisions...so I ordered both.  I didn't read the other reviews, or would have read that the yellow is really a lime.  Still cute, but can't wear with enough outfits.  Enter the pink and it is so much prettier in person.  The colors just pop against my skin.  Agree with the other reviewer that the band in the back makes a sound as you walk.  However, I am used to making some kinda sound in my higher heeled shoes so it didn't bother me.  I ran around on the carpet a few times to make sure that my footing was secure and it was.  Can't wait to take these babies out!!""",b'2015-08-04',b'Oh so pretty!!',b'R396F9X84GZ2SK',4,2,0,1
b'14225348',6,b'US',b'Shoes',b'B000OV3ADE',b'94771573',b'5075 Black GI Style Combat Boot',"b""We are from Costa Rica, my wife were on a bussiness trip at Atlanta, the staff provided the best service ever had, shipping and delivery to the hotel and less than 3 days , due to and error in the order process, service is/was at  the moment oustanding....about the BOOTS I love it, great materials,very comfortables, and that's exactly what I was looking for,and well done STAFF.""",b'2012-11-18',b'GREAT Boots and service provided by the Staff!!!!!',b'R1MFI14409KB05',5,9,1,1
b'14490754',0,b'US',b'Shoes',b'B007O0OMZI',b'925850836',"b""G.H. Bass & Co. Women's Dahna Slip-On Loafer""","b""When I received this shoe I wasn't sure whether it would have enough comfort for the ball of my foot.  So far it's comfortable and looks great.""",b'2013-07-04',b'Very Comfortable.',b'RCS2FUAV0F4JM',4,0,0,1
b'25961022',0,b'US',b'Shoes',b'B00KXAA5VQ',b'823006819',"b""Teva Women's Original Sandal""",b'I am a size 8.5. I bought the 9. Perfect I even like the strap around my ankle.',b'2015-06-23',b'Perfect I even like the strap around my ankle',b'R1VD14NE23CN00',5,0,0,1
b'45899900',0,b'US',b'Shoes',b'B0002EX2KE',b'60659500',"b'Wolverine Men\'s Waterproof Insulated 8"" Work Boot'",b'Great boot - fit as expected. Good seller',b'2014-06-26',b'Great boot - fit as expected',b'R2UGHI475VERD',5,0,1,1
b'2652707',0,b'US',b'Shoes',b'B000EP83MI',b'158385645',"b""Grasshoppers Women's Ashland Smooth Sneaker""","b""These shoes are so comfortable.  So happy to find them on Amazon because I couldn't find them in the stores anymore.""",b'2014-10-01',b'Love these shoes',b'R265U0ZL2QMKZL',5,0,0,1
b'50086433',0,b'US',b'Shoes',b'B0092MQJZ2',b'991803549',b'Nine West Candy Shop Flap Cross Body',b'How could I not love it??? Cute.  Stylish and just the right size. Looks great dressed up ... or not!',b'2013-02-05',b'Bling Bling',b'RLYKA86ED5T3C',5,0,0,1
b'13002668',0,b'US',b'Shoes',b'B001HKJVW0',b'772616388',"b""Spy Optic Women's Eliza Rectangle Sunglasses""","b'these sunglasses are awesome... i got them in white. i love big sunglasses. they look modern, expensive and super cool.'",b'2009-11-30',b'great pair',b'R146AKO7WE7W9L',4,0,0,1
b'52605385',0,b'US',b'Shoes',b'B003FZA9MG',b'211869441',"b""FitFlop Women's Superboot Ankle Boot""","b""I love FitFlops. I wore my 1st pair walking around Ireland & ended up leaving my other boots in the suit case. Then came the other pairs. When I walk in them I can feel that wobble board helping me balance & absorbing some of the impact. Another reviewer mentioned the boots weren't as squishy,comfy as the sandals and I agree but they're still a big help with lots of walking on hard surfaces.""",b'2011-10-16',b'My 3rd pair of FitFlops!',b'RGYTRKV3N163P',5,0,1,1
b'42462412',0,b'US',b'Shoes',b'B008JAP09E',b'29031768',b'DC Rebound Skate Shoe (Little Kid/Big Kid)',"b'I sized up by half as other reviewers suggested and the fit is perfect! This is a great price for a tried and true brand that kids just plain love. We opted for the high top style for more support on little feet, and the style is wonderful. Durable, fun, and well made shoes.'",b'2013-12-17',b'Skate Shoes and hit of 2nd grade!',b'R23UZT7F9ZN84I',5,0,0,1
b'48519856',0,b'US',b'Shoes',b'B00K5QPM02',b'895732857',"b""Calvin Klein Women's Natia Boot""",b'good',b'2014-12-25',b'Five Stars',b'ROARFHUVCZVKR',5,0,1,1
b'15106887',1,b'US',b'Shoes',b'B005FHO6FS',b'140196722',b'Prada Sport (Linea Rossa) PS56MS Sunglasses',"b""I've had these same sunglasses before and they feel just as sturdy and fit great.  Case they came in was in perfect condition.  You can tell sunglasses are authentic.  Great buy.""",b'2014-03-08',"b'Sunglasses perfect, not dissapointed'",b'R29FL6S9CIQSXO',5,1,0,1
b'19637029',0,b'US',b'Shoes',b'B0027FEBME',b'121718528',"b""Nina Women's Chrys Peep-Toe Pump""","b'This shoe is exactly what I wanted it to be.  The sale price was actually what first attracted me to this shoe, due to the fact that I already own 3 pairs of dressy black shoes. I will take this pair with me on my cruise this summer.<br />It is good quality and the rhinestones really make it fancy.'",b'2011-01-15',b'Great dressy shoe',b'R2S59DT243QV9W',5,0,0,1
b'18015016',0,b'US',b'Shoes',b'B0093DJ8SU',b'794738828',"b""Skechers Women's Reggae-Rasta Thong Sandal""","b""I love them!  I had previously purchased the same sandals from a local shoe store in another color and fell in love with them.  They have thick soles but they aren't too heavy and the arch support is great!  I was excited to find them on here in more variety of colors than our local shoe store had in stock.  The price was better too!""",b'2015-07-24',b'Great purchase!!!',b'R3RX7MU0K7WU1F',4,0,0,1
b'52349752',16,b'US',b'Shoes',b'B00BCOB92Q',b'784483220',"b""Vibram FiveFingers TrekSport Sandal - Men's""","b'My 3rd pair and I love them.Good for the warmer temperatures in making and material, as the feet does not sweat as easily as in other FiveFingers, like the Bikila LS I have.<br />I use the Treksport Sandal for light hikes and any kind of everyday outdoor use in summer. Close to barefoot feeling with the right protection for the feet. If you are not used to this kind of shoes, it will take some time for yourself and your feet to adjust. It is worth doing so. After a knee injury (from running in &#34;normal&#34; running shoes) and the advise from the MDs to walk and run more barefoot, I find, after 2yrs of doing so, this is a great way to go. No knee or back problems ever since... amazing!<br /><br />+ extrem lightweight<br />+ material and workmanship<br />+ close to barefoot feeling<br />+ excellent grip for outdoor usage<br />+ lace system, adjustable for various type of feet<br /><br />- price (maybe)<br /><br />Take your time and measure exactly your feet in oder to get the right size...<br />I can recommend this sandals and it will not be the last pair of FiveFingers I will own!'",b'2013-04-21',"b'Great FiveFingers, especially for the summer season!'",b'R3A3PYK7NQB4XX',5,16,0,1
b'4728196',0,b'US',b'Shoes',b'B00KTN6HRS',b'89753709',b'Qupid BB45 Women Nubuck Double Almond Toe Platform Heel Pump - Royal Blue',"b'fancy, elegant i love this shoes'",b'2014-11-20',b'elegant i love this',b'R2FG6KQCSRPL60',5,0,0,1
b'3525192',0,b'US',b'Shoes',b'B00EUZLA50',b'121076376',"b""Dirty Laundry by Chinese Laundry Women's Beebop Flat Sandal""",b'I love them',b'2015-04-16',b'Four Stars',b'RDHO9KPSQ9VMK',4,0,0,1
b'17375859',0,b'US',b'Shoes',b'B00ALYM7JC',b'943840447',"b""KEEN Women's Sierra Boot""",b'Awesome boot! Fit is true to size and very comfortable. Love these boots!',b'2014-09-14',b'GREAT BOOT!',b'R1Z361WMQ28ILP',5,0,0,1
b'32892456',1,b'US',b'Shoes',b'B00Q459ED4',b'442033590',b'kate spade new york Cobble Hill Small Ella Shoulder Bag',b'My wife likes it. It is smaller then her regular bag but can still fit her flip flops for going out.',b'2015-07-28',b'My wife likes it. It is smaller then her ...',b'R3KVTS2UA3DCFY',5,2,1,1
b'19420557',0,b'US',b'Shoes',b'B000QSR0I6',b'849826419',"b""Palladium Women's Quebec Boot""","b""These are nice boots for the sale price. The zipper and velcro closure on the outside is different (watch the tights, though!). Cute flower print on the inside. No arch support or cushioning. It does seem to run a little big- I got and 8 and a 7 and I found my toes to be too squished in the 7. So the 8 is a little big, but at least I can zip it up. That's another thing- these boots are for relatively skinny calves. There's no tucking pants into them either unless you have twigs for legs.""",b'2009-04-13',b'utilitarian',b'R29ICWKEJEDGXQ',4,0,1,1
b'2329550',0,b'US',b'Shoes',b'B00BKW4WM4',b'621910609',"b""Reebok Women's Royal Lumina Fashion Sneaker""",b'recomendable',b'2015-08-30',b'Five Stars',b'RYWH6KSTD6BFH',5,0,0,1
b'51946234',0,b'US',b'Shoes',b'B000RFS0H8',b'829379989',b'Stride Rite Little Kid/Big Kid Sabertooth Quick Close Sneaker',"b""My grandson wore these shoes out WAY before he outgrew them. The shoe wouldn't fasten tightly and he grew to like them loose so he could just step in and out of them. Now it's a bad habit we fight.""",b'2011-01-13',b'good looking but not so good wearing shoe',b'R1V9CHXQ9KTHXZ',2,0,0,1
b'35787849',1,b'US',b'Shoes',b'B002QGKUCE',b'611255668',"b""Sanuk Women's Casbah Sandal""","b'These took extra long to get here, but it was worth the wait! They look just like the picture, and are so cute! The best feature is the extra layer on the bottom of the shoe - when flip flops only have foam on the bottom, it can wear away with use. These should last much longer! I usually wear a 8 1/2 or 9 (but usually get 9s in flip flops), so I ordered a 9 and they fit great. Love these!'",b'2010-05-01',b'Love these flip flops!',b'R3MMWSBEG463EZ',5,1,0,1
b'16568054',1,b'US',b'Shoes',b'B00E0GLBNK',b'992082781',"b""KEEN Women's Rose Sandal""",b'Perfect for walking and hiking. Not too heavy. The &#34;aluminum&#34; color is very neutral and works well for summer. I wore these all day on the day they arrived and did not have to break them in or change shoes. KEEN is my favorite hiking and walking shoe brand.',b'2015-07-24',b'Perfect for walking and hiking',b'R38DKB4AUI7NIC',5,1,0,1
b'10715138',0,b'US',b'Shoes',b'B00BCPLBSW',b'10079260',b'Nike Mens Lunar Forever Yellow/Black/White Running Shoes US 8.5 NIB',b'Really light shoes. Are great for running the only bad thing is that they are made out of really thin material and they got thorn after 3 months usage.',b'2013-08-22',b'Light shoes',b'R5LWXRKGEXIID',3,0,1,1
b'17038021',0,b'US',b'Shoes',b'B0031RGUCG',b'852363951',"b""Reebok Women's Easytone Reeinspire II Walking Shoe""","b""I received these shoes in the Oyster.. color yesterday. I realize that twenty-four hours does not seem to be adequate time to determine whether or not these shoes are effective, but I am satisfied. They are well-made, conforming to shape of the foot, especially near the ankle. This is something I find to be important in searching for a good walking or running shoe. There is a lot of cushion and the sturdy shape of the shoe forces the feet to land in proper alignment. With the proper alignment of the feet and the fit of the shoe, I have noticed that my muscles are being used more efficiently. If you would a nice shoe with a true-to-form fit and great cushion, I recommend these shoes. I especially recommend the Oyster.. color, it looks nice with jeans and can be dressed-down for a simple workout. Also, my mother, who has surgically-repaired feet, has a pair of these shoes she doesn't need to wear her orthotics with them. She wears hers at work (stocks merchandise at JC Penney) and is constantly on her feet. Even without orthotics, she does not have any pain with these shoes.""",b'2011-09-21',b'Great shoes!',b'R72BYGRW9TCAP',5,0,0,1
b'10769209',0,b'US',b'Shoes',b'B00ADVXGQG',b'514625669',"b""Columbia Men's Packed Out Omni-Heat Slipper""","b""I bought these before my trip to Indiana which was much, much colder than the east coast at the time. At $50.00 I was a little wary but I figured I'd need something to keep my feet warm around the house I was visiting. They're so comfortable and convenient that I actually replaced wearing shoes with socks when I went out. They kept my feet warm even in 18 degree weather and it was very convenient slipping them on and off; it was a hassle throwing on layers and thermals but took two seconds to just slip into these slippers. I love these!""",b'2013-12-06',b'Comfortable and fits well',b'RFCI5LVM9OFC5',5,0,0,1
b'12624050',0,b'US',b'Shoes',b'B001WLIB02',b'69721000',"b""Thorogood Men's American Heritage Roofer Boot""",b'Great boots.  I replaced the laces with tan/brown and they look great!  they are unlined but I just wore two pair of socks the first time.  No rubs or blisters.',b'2014-04-16',"b""Love 'em""",b'RZKABTSSNQTO5',5,0,0,1
b'46425865',1,b'US',b'Shoes',b'B00O1IM0D2',b'788648774',b'Womens Fur Covered Fully Fur Lined Waterproof Winter Snow Boots',"b""They're very warm and soft and fit well. There's basically no arch support at all so if you're planning to hike or take a long walk in these, don't. They're fine for short walks. I'm planning to find some inserts that stay in place. Still think they're well worth the price.<br /><br />They keep my feet warm at work and in my cold kitchen. And they're very pretty and pettable.""",b'2015-03-01',"b""Like a soft pet that can't hold your arches up but loves you anyway.""",b'RYG9DL07XEMKF',4,1,0,1
b'43819436',0,b'US',b'Shoes',b'B00IM5J5DI',b'856066867',"b""Old Friend Men's Camp Moccasin""",b'Gave these slippers as a Christmas gift. Its been only 2 weeks and the top of both slippers have come unraveled. They are now open on top and unwearable. They looked like a great slipper but the poor stitching is a huge disappointment.',b'2015-01-12',b'Not what I expected.',b'R2VX224L7AEKN0',1,0,1,1
b'44963157',0,b'US',b'Shoes',b'B00LG6F2GY',b'650109780',b'adidas Performance Messi 10.3 Firm-Ground J Soccer Cleat (Little Kid/Big Kid)',b'Fit is perfect for my 6 year old. His size is 13. He loves Messi & feels he runs as fast & plays as well as Messi when he wears these shoes!',b'2015-04-02',b'Fit is perfect for my 6 year old',b'R2PCY2FNJD9WIN',5,1,0,1
b'45210753',1,b'US',b'Shoes',b'B0026RXG9W',b'50663218',"b""Skechers Women's Shape Ups Sneaker""","b""I've been wearing these for about 2 1/2 weeks now walking 5-6 days a week. The first few times I wore them I noticed my lower back felt sore but it was the muscles in my back and not my spine. Wearing these shoes works your back muscles as well as your legs... who knew? Anyway, by day 3 or so my muscles got used to the new way of walking and I've been going strong since. Every other shoe I tried made my feet hurt by mile 2, but I can walk almost 4 miles a day in these with no pain in my feet. Like another reviewer, I had some numbness in my right foot after wearing these only a short time. I adjusted the laces as per that reviewer's advice and I was all set, no more numbness. I actually look forward to walking every day now!""",b'2010-06-23',b'Love them!',b'R3KGA8J7HI1I8N',5,1,0,1
b'515436',0,b'US',b'Shoes',b'B00D1HOBYU',b'839705341',"b""Merrell Men's Pulsate Camo Mid Waterproof Hiking Boot""",b'Great shoes-love the camo..mph',b'2015-06-08',b'Five Stars',b'R3IHBEY70WA4B',5,0,0,1
b'23848493',0,b'US',b'Shoes',b'B0030N3WHM',b'671617428',"b""Michael Antonio Women's Tierra Platform Sandal""",b'Absolutely love these shoes! True size. Beautiful colors! sturdy and well made! Michael Antonio is one of my fav. shoe designers. Beautiful and great quality shoes. I always recommend this designer.',b'2014-09-03',b'Perfect!!',b'R8ECI799UP6BM',5,0,0,1
b'48241284',0,b'US',b'Shoes',b'B00HS7I12W',b'94906021',b'Marc Fisher Womens Joey Peep Toe D-orsay Pumps',"b'Somewhat large but Sooo pretty, very satisfied.'",b'2014-09-14',b'Five Stars',b'R3MQ1JDEH3ATLG',5,0,0,1
b'19565851',0,b'US',b'Shoes',b'B005IXU0AO',b'403673518',"b""K-SWISS Women's Tubes Run 100 A Running Shoe""","b'These shoes fit wonderfully from day one, no break in period needed. I put a lot of miles on these shoes and I am still wearing them with no signs of wear or tear. They are super comfortable and have just the right amount of arch support.'",b'2014-10-16',b'Have held up great!',b'RGG2IMH16VIN8',5,0,0,1
b'25173400',0,b'US',b'Shoes',b'B004NNXL4M',b'28177651',"b""Sanuk Women's Pick Pocket Fleece Flat""","b'I bought this gift for my girlfriend before we went on vacation.  She absolutely loves these shoes. They fit perfectly.  If I had to give a complaint it is that the material is thick and keeps her feet a little warm, but that will be great this winter!'",b'2014-09-24',b'Bought as a gift',b'R2XCZO4SPPBRTW',5,0,0,1
b'52940730',0,b'US',b'Shoes',b'B000BWFV2O',b'230885054',"b""H.S. Trask Women's Totem Slipper""","b""These are the best slippers I've ever worn.  They are so warm and comfortable and beautifully-made.  They are worth every penny and so much better than anything you'll get at LL Bean.""",b'2008-07-04',b'Waiting for These Slippers!',b'R1ABGHMQ13G1XS',5,0,0,1
b'50290642',2,b'US',b'Shoes',b'B00KTKGEI8',b'766198094',"b""Columbia Men's Grants Pass WP Lace Up Hiking Sneakers""",b'Light and nice waterproof (and snow) boots',b'2015-03-14',b'Five Stars',b'R1S4O8SXPYSLXC',5,2,0,1
